This can probably be deleted, but here were the missing solution records
from the bug in solution uploading that existed Dec 12 - April 3 2021,
in case the lengths, dates, or hashes end up being useful for something?

+-------+------+--------------+--------+--------------+------+-------------+----------------------------------+------------+
| id    | of   | name         | author | moves        | len  | speedrecord | md5                              | date       |
+-------+------+--------------+--------+--------------+------+-------------+----------------------------------+------------+
| 13406 | 2179 | Speed Record | noname | NULL         |  149 | t           | cff14169f4170624289b15689a51d7e9 | 1615465090 |
| 13458 | 2211 | Speedrun     | Matt   | NULL         |  237 | t           | b859ef9bfcf26f7256b3caa94f923f37 | 1615669512 |
| 13453 |  485 | Speed Record | noname | NULL         |  455 | t           | f6a7d7e0a542fbe7a0833cd3630844db | 1615479574 |
| 13457 |  275 | Speed Record | noname | NULL         |   50 | t           | 7f9516ad4179e2e15d992005b1697901 | 1615480668 |
| 13407 | 1417 | Speed Record | noname | NULL         |  153 | t           | 9e34969cc7cf271df388470f34f0136b | 1615465104 |
| 13450 |  768 | Speed Record | noname | NULL         |  179 | t           | 95511c4492952d7700bcd59cbd7613a0 | 1615477241 |
| 13398 |   34 | Optimal      | noname | NULL         |   74 | t           | d1b3fb2b2d34c10895ed3dbe9fea8731 | 1607780860 |
| 13399 | 2488 | Optimal      | noname | NULL         |  423 | t           | a02a4566e9b8edc983b65b39150b21f0 | 1607781027 |
| 13394 | 4133 | Optimal      | noname | NULL         |  166 | t           | 028d2ddd24dbce1e69e108247851e505 | 1607780628 |
| 13395 | 4134 | Optimal      | noname | NULL         |  101 | t           | 744daf5a2bf688cd7cc7a690b8bf222c | 1607780642 |
| 13415 | 4147 | Original     | noname | NULL         |    3 | f           | fc871f000530d1ea88de34bae2137b89 | 1615465555 |
| 13416 | 4148 | Original     | noname | NULL         |  463 | f           | a52b744c417b5dc4270b8d88fca92362 | 1615466268 |
| 13417 | 3752 | Speedrun     | noname | NULL         |  485 | t           | 75e68467d9e3765ddf46a0844b642546 | 1615467300 |
| 13449 |  861 | Speed Record | noname | NULL         |   80 | t           | c78f0d820882e7a44d1be775ab0a1c98 | 1615476375 |
| 13442 | 1194 | Speed Record | noname | NULL         |  180 | t           | d4ea25dff71c88b4e132d98cafb6976f | 1615470399 |
