expt	mframes	depth	walltime
100.0	131072.000	131072.000	131072.000
1000.0	21971.000	21971.000	21971.000
12.0	21917.000	21917.000	21917.000
125.0	143494.000	143494.000	143494.000
1250.0	21779.000	21903.000	21779.000
150.0	146471.000	146471.000	146471.000
175.0	77824.000	77824.000	77824.000
200.0	143497.000	143497.000	143497.000
2000.0	21952.000	21971.000	21952.000
201.0	143496.000	143496.000	143496.000
211.0	143494.000	143527.000	143494.000
221.0	77824.000	77824.000	77824.000
225.0	31205.000	31205.000	31205.000
231.0	140404.000	140404.000	140404.000
241.0	143526.000	143526.000	143526.000
25.0	24910.000	24915.000	24910.000
250.0	140517.000	143380.000	140517.000
251.0	143418.000	143418.000	143418.000
261.0	80896.000	80896.000	80896.000
271.0	143416.000	143416.000	143416.000
275.0	143449.000	143449.000	143449.000
281.0	146475.000	146475.000	146475.000
285.0	143384.000	143384.000	143384.000
289.0	140517.000	140517.000	140517.000
290.0	137430.000	137430.000	137430.000
291.0	140516.000	140516.000	140516.000
3.0	21971.000	21971.000	21971.000
300.0	137431.000	137431.000	137431.000
301.0	140409.000	140409.000	140409.000
310.0	143492.000	143492.000	143492.000
311.0	77824.000	77824.000	77824.000
325.0	140454.000	143383.000	140454.000
350.0	143378.000	143378.000	143378.000
375.0	77824.000	77824.000	77824.000
400.0	140406.000	140456.000	140406.000
50.0	140374.000	140454.000	140374.000
500.0	65536.000	65536.000	65536.000
6.0	21903.000	21903.000	21903.000
600.0	77824.000	77824.000	77824.000
75.0	77824.000	77824.000	77824.000
750.0	28099.000	28099.000	28099.000
