expt	depth	mframes	walltime
1.0	2.760	0.557	11.274
1.1	2.875	0.976	19.491
1.2	2.434	0.576	11.319
1.4	3.018	1.003	20.529
1.5	2.092	0.225	4.778
1.7	2.178	1.035	21.098
1.9	2.064	1.031	20.530
10.0	3.901	0.181	3.952
12.0	4.068	0.229	5.103
14.0	4.347	0.584	12.206
18.0	4.898	0.553	11.600
2.1	3.359	1.019	21.427
2.2	2.759	0.202	4.351
2.3	2.635	0.998	21.101
2.4	2.726	0.978	20.463
2.5	1.189	0.999	20.030
2.6	2.790	1.037	20.595
2.7	2.410	1.047	21.008
2.8	2.508	0.963	19.601
2.9	2.478	1.000	20.275
24.0	3.314	1.019	20.808
3.0	2.395	1.057	22.035
3.4	4.494	0.179	3.855
3.6	3.089	0.243	5.081
3.8	1.485	0.977	19.345
4.0	2.925	1.025	20.476
4.2	3.223	0.159	3.316
4.4	2.135	0.998	20.299
4.6	3.503	0.955	20.052
4.8	2.636	0.999	19.878
5.0	1.912	1.021	20.812
5.3	2.712	1.021	21.583
5.7	1.503	1.028	20.899
6.0	3.007	1.056	21.397
6.7	2.850	1.079	21.784
7.0	1.198	1.076	22.242
8.0	1.825	0.999	21.018
9.0	1.147	1.076	22.076
